instance_id	source	token_budget	candidate_entities	selected_entities	rendered_context_tokens	budget_fill	mean_selected_source_tokens	truncated_entities	changed_lines_covered	changed_lines_total	complete_changed_lines
matplotlib__matplotlib-26291	MURAL	4000	50	18	3921	0.98025	225.11111111111111	4	1	1	1
matplotlib__matplotlib-26342	MURAL	4000	50	22	3949	0.98725	277.45454545454544	7	4	6	0
matplotlib__matplotlib-26466	MURAL	4000	50	16	3914	0.9785	481.25	4	0	17	0
mwaskom__seaborn-3069	MURAL	4000	50	16	2971	0.74275	228.875	4	0	5	0
mwaskom__seaborn-3187	MURAL	4000	50	5	2925	0.73125	561.0	2	1	2	0
pallets__flask-5014	MURAL	4000	50	20	3991	0.99775	181.25	2	1	1	1
psf__requests-1142	MURAL	4000	50	25	3944	0.986	112.32	2	1	2	0
psf__requests-1724	MURAL	4000	50	16	3899	0.97475	307.9375	5	0	3	0
psf__requests-1766	MURAL	4000	50	18	3907	0.97675	242.33333333333334	7	0	4	0
psf__requests-1921	MURAL	4000	50	18	3912	0.978	219.16666666666666	6	0	1	0
psf__requests-2317	MURAL	4000	50	14	3864	0.966	415.14285714285717	5	2	4	0
psf__requests-2931	MURAL	4000	50	17	3749	0.93725	241.1764705882353	6	1	3	0
psf__requests-5414	MURAL	4000	50	15	3942	0.9855	325.6	8	0	2	0
psf__requests-6028	MURAL	4000	50	14	3866	0.9665	374.0	5	0	1	0
pydata__xarray-2905	MURAL	4000	50	19	3987	0.99675	380.5263157894737	7	0	2	0
pydata__xarray-3095	MURAL	4000	50	18	3958	0.9895	331.0	9	4	30	0
pydata__xarray-3151	MURAL	4000	50	13	3965	0.99125	519.4615384615385	8	9	9	1
pydata__xarray-3305	MURAL	4000	50	15	3946	0.9865	418.0	10	0	11	0
pydata__xarray-3677	MURAL	4000	50	15	3965	0.99125	525.9333333333333	9	0	1	0
pydata__xarray-3993	MURAL	4000	50	13	3979	0.99475	570.3846153846154	10	22	23	0
pydata__xarray-4075	MURAL	4000	50	20	3731	0.93275	105.8	1	2	2	1
pydata__xarray-4094	MURAL	4000	50	16	3816	0.954	345.8125	7	2	2	1
